row.id,Genus_Species,altname,nametype,complex,with.data
84,Acerra normalis,Acerra normalis,binomial,FALSE,FALSE
85,Achaea ablunaris,Achaea ablunaris,binomial,FALSE,FALSE
86,Achalarus albociliatus,Achalarus albociliatus,binomial,FALSE,FALSE
87,Achalarus casica,Achalarus casica,binomial,FALSE,FALSE
88,Achalarus lyciades,Achalarus lyciades,binomial,FALSE,TRUE
89,Achalarus lyciades,Hoary Edge,english,FALSE,TRUE
90,Achalarus lyciades,HOED,code,FALSE,TRUE
91,Achalarus tehuacana,Achalarus tehuacana,binomial,FALSE,FALSE
92,Achalarus toxeus,Achalarus toxeus,binomial,FALSE,FALSE
93,Acharia extensa,Acharia extensa,binomial,FALSE,FALSE
94,Acharia stimulea,Acharia stimulea,binomial,FALSE,FALSE
95,Acharia stimulea,Saddleback Caterpillar Moth,english,FALSE,FALSE
96,Achatia distincta,Achatia distincta,binomial,FALSE,TRUE
97,Achatia distincta,Distinct Quaker Moth,english,FALSE,FALSE
98,Achatodes zeae,Achatodes zeae,binomial,FALSE,FALSE
99,Achatodes zeae,Elder Shoot Borer Moth,english,FALSE,FALSE
100,Acherdoa ferraria,Acherdoa ferraria,binomial,FALSE,FALSE
101,Acherdoa ferraria,Chocolate Moth,english,FALSE,FALSE
102,Achlyodes pallida,Achlyodes pallida,binomial,FALSE,FALSE
103,Achroia grisella,Achroia grisella,binomial,FALSE,FALSE
104,Achroia grisella,Lesser Wax Moth,english,FALSE,FALSE
105,Achyra bifidalis,Achyra bifidalis,binomial,FALSE,FALSE
106,Achyra occidentalis,Achyra occidentalis,binomial,FALSE,FALSE
107,Achyra rantalis,Achyra rantalis,binomial,FALSE,FALSE
108,Achyra rantalis,Garden Webworm Moth,english,FALSE,FALSE
109,Acleris aenigmana,Acleris aenigmana,binomial,FALSE,FALSE
110,Acleris albicomana,Acleris albicomana,binomial,FALSE,FALSE
111,Acleris albicomana,Red-edged Acleris Moth,english,FALSE,FALSE
112,Acleris albinivia,Acleris albinivia,binomial,FALSE,FALSE
113,Acleris arcticana,Acleris arcticana,binomial,FALSE,FALSE
114,Acleris bowmanana,Acleris bowmanana,binomial,FALSE,FALSE
115,Acleris braunana,Acleris braunana,binomial,FALSE,FALSE
116,Acleris britannia,Acleris britannia,binomial,FALSE,FALSE
117,Acleris britannia,Brittania Moth,english,FALSE,FALSE
118,Acleris busckana,Acleris busckana,binomial,FALSE,FALSE
119,Acleris caliginosana,Acleris caliginosana,binomial,FALSE,FALSE
120,Acleris capizziana,Acleris capizziana,binomial,FALSE,FALSE
121,Acleris celiana,Acleris celiana,binomial,FALSE,FALSE
122,Acleris cervinana,Acleris cervinana,binomial,FALSE,FALSE
123,Acleris chalybeana,Acleris chalybeana,binomial,FALSE,FALSE
124,Acleris chalybeana,Lesser Maple Leafroller Moth,english,FALSE,FALSE
125,Acleris clarkei,Acleris clarkei,binomial,FALSE,FALSE
126,Acleris comandrana,Acleris comandrana,binomial,FALSE,FALSE
127,Acleris comariana,Acleris comariana,binomial,FALSE,FALSE
128,Acleris comariana,Strawberry Tortrix Moth,english,FALSE,FALSE
129,Acleris cornana,Acleris cornana,binomial,FALSE,FALSE
130,Acleris curvalana,Acleris curvalana,binomial,FALSE,TRUE
131,Acleris curvalana,Blueberry Leaftier Moth,english,FALSE,FALSE
132,Acleris effractana,Acleris effractana,binomial,FALSE,FALSE
133,Acleris effractana,Hook-winged Tortrix Moth,english,FALSE,FALSE
134,Acleris ferrumixtana,Acleris ferrumixtana,binomial,FALSE,FALSE
135,Acleris flavivittana,Acleris flavivittana,binomial,FALSE,FALSE
136,Acleris flavivittana,Multiform Leafroller Moth,english,FALSE,FALSE
137,Acleris foliana,Acleris foliana,binomial,FALSE,FALSE
138,Acleris forbesana,Acleris forbesana,binomial,FALSE,FALSE
139,Acleris forbesana,Forbes' Acleris Moth,english,FALSE,FALSE
140,Acleris forsskaleana,Acleris forsskaleana,binomial,FALSE,FALSE
141,Acleris forsskaleana,Maple Leaftier Moth,english,FALSE,FALSE
142,Acleris fragariana,Acleris fragariana,binomial,FALSE,FALSE
143,Acleris fuscana,Acleris fuscana,binomial,FALSE,FALSE
144,Acleris fuscana,Small Aspen Leaftier Moth,english,FALSE,FALSE
145,Acleris gloveranus,Acleris gloveranus,binomial,FALSE,FALSE
146,Acleris gloveranus,Western Black-headed Budworm Moth,english,FALSE,FALSE
147,Acleris holmiana,Acleris holmiana,binomial,FALSE,FALSE
148,Acleris holmiana,Golden Leafroller Moth,english,FALSE,FALSE
149,Acleris hudsoniana,Acleris hudsoniana,binomial,FALSE,FALSE
150,Acleris implexana,Acleris implexana,binomial,FALSE,FALSE
151,Acleris inana,Acleris inana,binomial,FALSE,FALSE
152,Acleris incognita,Acleris incognita,binomial,FALSE,FALSE
153,Acleris kearfottana,Acleris kearfottana,binomial,FALSE,FALSE
154,Acleris keiferi,Acleris keiferi,binomial,FALSE,FALSE
155,Acleris klotsi,Acleris klotsi,binomial,FALSE,FALSE
156,Acleris maccana,Acleris maccana,binomial,FALSE,FALSE
157,Acleris macdunnoughi,Acleris macdunnoughi,binomial,FALSE,FALSE
158,Acleris maculidorsana,Acleris maculidorsana,binomial,FALSE,FALSE
159,Acleris maculidorsana,Stained-back Leafroller Moth,english,FALSE,FALSE
160,Acleris maximana,Acleris maximana,binomial,FALSE,FALSE
161,Acleris minuta,Acleris minuta,binomial,FALSE,FALSE
162,Acleris minuta,Yellowheaded Fireworm Moth,english,FALSE,FALSE
163,Acleris negundana,Acleris negundana,binomial,FALSE,FALSE
164,Acleris negundana,Speckled Acleris Moth,english,FALSE,FALSE
165,Acleris nigrolinea,Acleris nigrolinea,binomial,FALSE,FALSE
166,Acleris nivisellana,Acleris nivisellana,binomial,FALSE,FALSE
167,Acleris nivisellana,Snowy-shouldered Acleris Moth,english,FALSE,FALSE
168,Acleris notana,Acleris notana,binomial,FALSE,FALSE
169,Acleris okanagana,Acleris okanagana,binomial,FALSE,FALSE
170,Acleris oxycoccana,Acleris oxycoccana,binomial,FALSE,FALSE
171,Acleris paracinderella,Acleris paracinderella,binomial,FALSE,FALSE
172,Acleris placidana,Acleris placidana,binomial,FALSE,FALSE
173,Acleris placidana,Black-headed Birch Leaffolder Moth,english,FALSE,FALSE
174,Acleris ptychogrammos,Acleris ptychogrammos,binomial,FALSE,FALSE
