"pct","term","estimate","std.error","statistic","p.value","r2","datasets"
"10","(Intercept)",-1.07317957241053,1.2021180144021,-0.892740612446692,0.372317100796818,0.0279087847483597,"iNat-Bfly"
"10","dev10_inat",0.111101771019929,0.0258336742252936,4.30065696621468,1.95668519665571e-05,0.0279087847483597,"iNat-Bfly"
"10","codeRL",0.926926192445767,1.40889127425337,0.657911798720583,0.510821123063001,0.0279087847483597,"iNat-Bfly"
"10","codeRP",1.28340346264061,1.4391138531042,0.891801201046241,0.372820134300179,0.0279087847483597,"iNat-Bfly"
"50","(Intercept)",-0.423154742875452,1.04688315438422,-0.404204367128588,0.686191625882171,0.0481113758714646,"iNat-Bfly"
"50","dev50_inat",0.195695136406537,0.0341826160649534,5.72499003688539,1.5623946461119e-08,0.0481113758714646,"iNat-Bfly"
"50","codeRL",1.29767707652281,1.22571095848056,1.05871377549847,0.290112258924291,0.0481113758714646,"iNat-Bfly"
"50","codeRP",1.44431118423262,1.25154059019327,1.15402664168454,0.248901335697859,0.0481113758714646,"iNat-Bfly"
"10","(Intercept)",-0.715007446997647,2.80535488738815,-0.254872369343379,0.800036743713637,0.253204880742992,"iNat-CC"
"10","dev10_cc",2.69731298523615,0.70641809365288,3.81829543930334,0.000426379909824255,0.253204880742992,"iNat-CC"
"50","(Intercept)",0.797873027268867,1.66119882544401,0.480299537326972,0.633448922046887,0.185975469282174,"iNat-CC"
"50","dev50_cc",1.86588508875,0.595307810969512,3.1343198499466,0.00310048777435162,0.185975469282174,"iNat-CC"
"10","(Intercept)",-2.15960086580783,3.93012395673804,-0.549499427901067,0.585717803226747,0.111047776209935,"CC-Bfly"
"10","dev10_cc",0.962368765615782,0.514565212291987,1.87025617477944,0.0687786056722719,0.111047776209935,"CC-Bfly"
"10","codeRL",3.60707892134833,5.04492406537221,0.714991717339595,0.478766728144081,0.111047776209935,"CC-Bfly"
"10","codeRP",5.95222373031863,5.10711278474384,1.16547724344356,0.250728905914666,0.111047776209935,"CC-Bfly"
"50","(Intercept)",-2.00307405362629,3.4019078144988,-0.588809033886595,0.559300043019767,0.0357017989063905,"CC-Bfly"
"50","dev50_cc",0.272979045843168,0.622864085895729,0.438264224932157,0.663552623425294,0.0357017989063905,"CC-Bfly"
"50","codeRL",1.74458731032146,4.36804425681078,0.399397810038498,0.691724712480519,0.0357017989063905,"CC-Bfly"
"50","codeRP",4.71019628364759,4.42268591356637,1.06500809139516,0.29325905217613,0.0357017989063905,"CC-Bfly"
