"q10","q50","w10","w50","year","HEXcell","code"
165.5,213,162.385209756081,213.599778221165,2019,590,"RL"
157.3,194,149.000725754465,198.057209550389,2020,590,"RL"
149.7,210.5,147.84490803467,204.607592551428,2016,590,"RP"
135,193,129.777613180124,191.601891971971,2017,590,"RP"
159,215,161.680208005281,212.670013446558,2018,590,"RP"
156,216,161.906663393911,214.058646269557,2019,590,"RP"
152.2,202,150.50518687099,200.500637117413,2020,590,"RP"
162,193.5,145.143254078895,199.970303577708,2020,591,"RE"
158,224,168.025370284667,219.405176930474,2016,591,"RL"
182,211,163.770076939606,216.818677197889,2017,591,"RL"
158,195.5,149.661096596246,202.720640732957,2018,591,"RL"
165,209,158.569280099342,209.71382951555,2019,591,"RL"
163,198,152.740352229177,204.104696930875,2020,591,"RL"
156.2,221.5,167.282895311107,216.228061110423,2016,591,"RP"
149,213.5,158.026252451885,215.772392594475,2017,591,"RP"
147.1,199,148.163438839281,198.420053421096,2018,591,"RP"
170.5,221,174.764832275672,219.50827758544,2019,591,"RP"
157,208,156.037167008317,207.883290271449,2020,591,"RP"
159.6,182.5,139.182985596437,198.771223097311,2018,592,"RE"
165,193,158.673010100324,198.73832344872,2019,592,"RE"
166.9,189,150.514655382668,196.660314081784,2020,592,"RE"
162,192,148.82359534623,203.812042891404,2016,592,"RL"
149.1,178,129.141650607753,185.291963272276,2017,592,"RL"
161,197.5,148.314749538321,205.560748982598,2018,592,"RL"
163,205,155.397922121533,208.096283189583,2019,592,"RL"
164,201,155.03480880801,205.422646293165,2020,592,"RL"
144.4,166,123.088537855656,180.685175159842,2017,592,"RP"
150.9,188,135.185336324306,197.953191076306,2018,592,"RP"
146.9,205,144.742943034458,200.595978320942,2019,592,"RP"
150.8,196,145.270445900484,199.0104002864,2020,592,"RP"
161,185,152.144572488331,185.999313075927,2014,593,"RE"
154,177,146.382143257054,176.785037768326,2015,593,"RE"
156,180,154.208131474915,182.455229363414,2016,593,"RE"
158,176,146.045910448615,179.370428664691,2017,593,"RE"
152.5,173,144.067235804085,175.981116690323,2018,593,"RE"
163,184,157.232777536838,188.257159630363,2019,593,"RE"
156,177,149.67724085046,179.553092401903,2020,593,"RE"
147,162,123.837958043895,176.976733026127,2010,593,"RL"
160,182,134.73337939074,197.417969622748,2011,593,"RL"
142,169,121.073397899545,182.999116173066,2012,593,"RL"
150.7,189.5,139.018491651432,197.283936884635,2013,593,"RL"
155,190,142.224295868451,196.87772894099,2014,593,"RL"
149,180,127.57788073971,186.982031386189,2015,593,"RL"
154.2,188,135.268996878687,196.876572888639,2016,593,"RL"
156,190,142.075541922388,199.249239838654,2017,593,"RL"
152,188,139.522463053119,196.450440355016,2018,593,"RL"
163,196,152.904769634582,202.52195187195,2019,593,"RL"
156,185,142.123835226229,191.861103171536,2020,593,"RL"
126,157,108.656048830727,169.249152906749,2012,593,"RP"
140,169,121.145158224558,181.035383128336,2013,593,"RP"
137,166,120.918149815874,175.203443399852,2014,593,"RP"
136.4,164,122.371993328315,170.704616298835,2015,593,"RP"
148,174,129.026344748749,185.324364307742,2016,593,"RP"
142.4,177,130.626050779523,187.335074783966,2017,593,"RP"
141,181,130.590968059764,187.78625654726,2018,593,"RP"
153.2,195,145.894468076518,198.711556089283,2019,593,"RP"
147,182,137.292510540588,188.06309352783,2020,593,"RP"
161,183,159.262200613719,182.710669126838,2019,594,"RE"
158,177,152.607003266033,178.224032408965,2020,594,"RE"
162,184,158.348349152467,187.837343226136,2005,594,"RL"
150,163,133.283390097488,162.496014137191,2008,594,"RL"
162.4,198,150.218595188595,204.77121462546,2013,594,"RL"
152,179.5,131.196245978233,189.617642464833,2014,594,"RL"
152.5,193,136.865108368432,198.920319137013,2015,594,"RL"
152,184,138.135149353237,196.88100136412,2016,594,"RL"
160,202,146.573752913582,209.845572408286,2017,594,"RL"
157.6,194,146.374527148164,201.93391122963,2018,594,"RL"
162,196,151.22433850218,200.941645021287,2019,594,"RL"
158,186,144.380102943086,192.220095096083,2020,594,"RL"
157.3,212.5,154.308013771115,213.393795180995,2013,594,"RP"
139,168,121.365645665137,181.403701266734,2014,594,"RP"
142.4,183.5,124.728347500028,188.084618618612,2015,594,"RP"
139,179,130.873408807557,183.827329219828,2016,594,"RP"
148,197,138.72729291993,199.93817586502,2017,594,"RP"
140.4,180,133.483045228634,185.717211819686,2018,594,"RP"
152,200,148.222851810765,201.501172464688,2019,594,"RP"
150,180,136.232982172724,185.975201969201,2020,594,"RP"
162.2,185,150.91792364105,195.002315434242,2013,595,"RE"
161,183,144.627140876437,187.697460081617,2014,595,"RE"
156.4,178,153.728486741348,180.086440392926,2016,595,"RE"
166,183,152.932755694751,185.9478309304,2017,595,"RE"
160,177,143.320033611343,179.116332502508,2018,595,"RE"
161.4,187,159.630611234587,188.988487504184,2019,595,"RE"
155.7,182,146.243092324608,186.687457453675,2020,595,"RE"
165,206.5,158.7049784274,206.607937802427,2011,595,"RL"
156,201,151.325507986097,202.795338764368,2013,595,"RL"
161,198,151.046614381385,202.960720020852,2014,595,"RL"
154,190,139.640890233242,196.125346633717,2015,595,"RL"
151.6,193,140.668089856756,200.111059002627,2016,595,"RL"
165.4,201,151.617258018113,206.579909202436,2017,595,"RL"
160,206,155.301740958562,208.714697529868,2018,595,"RL"
163,214,161.728432746651,216.376201507652,2019,595,"RL"
154,196,147.942316125286,200.086131000699,2020,595,"RL"
139.2,197,139.796615176441,197.463104533911,2013,595,"RP"
149,193,139.028517833873,195.607898609674,2014,595,"RP"
137.6,181,129.101820118534,185.628394600215,2015,595,"RP"
132.4,182,123.986030235218,185.953527874305,2016,595,"RP"
128.9,191,130.735431343974,195.347819482685,2017,595,"RP"
131.8,196,134.039805665173,197.542574215506,2018,595,"RP"
143.1,205,142.979738504562,204.052083257852,2019,595,"RP"
137,186,129.32913701104,188.179649434783,2020,595,"RP"
128.3,209,143.192871599146,211.182664852289,2018,616,"RL"
173.8,240,182.850700337047,233.754558767963,2019,616,"RL"
152,207,145.673637782804,206.117886009138,2020,616,"RL"
129,209,147.434855781962,213.246402484499,2018,616,"RP"
146.1,224.5,154.950844931383,218.947348966369,2019,616,"RP"
123,199,137.764040338016,197.685203936709,2020,616,"RP"
140.2,200,136.213047825246,205.185831077359,2016,617,"RL"
134.2,207,135.279008508581,199.759031233467,2017,617,"RL"
151.4,205,151.138645549173,207.653943570874,2018,617,"RL"
159,223,158.681377257811,221.843817007895,2019,617,"RL"
152,206,145.7323812987,207.626473805044,2020,617,"RL"
125,207,132.008697591546,203.602561291628,2016,617,"RP"
113,206,136.219488815904,196.756994953815,2017,617,"RP"
152.8,206,147.663331793396,212.856982554575,2018,617,"RP"
154,212.5,151.966232334446,214.999367058872,2019,617,"RP"
119,199.5,128.617653179699,194.229001300608,2020,617,"RP"
153.1,198.5,142.164875558385,200.217195127199,2018,618,"RE"
160,213,153.627984525381,214.218624590327,2019,618,"RE"
151,183,147.048579823901,192.719151901128,2020,618,"RE"
160,225.5,174.833951925196,223.01785328311,2013,618,"RL"
172,208.5,162.277411787615,212.158779299913,2014,618,"RL"
146,209,148.004314504182,207.034167306553,2015,618,"RL"
166,229,168.754607022128,229.102566237563,2016,618,"RL"
157,217,163.3530402,217.667180799547,2017,618,"RL"
154,217,157.281573151696,214.487805114106,2018,618,"RL"
162.5,229,172.81400430497,229.367797435812,2019,618,"RL"
150,199,143.815860234377,198.67306319603,2020,618,"RL"
179.6,214,170.291674535873,215.42666856583,2014,618,"RP"
150,211,148.614540124564,206.353916986786,2015,618,"RP"
157.6,218,153.073605541221,214.784457085772,2016,618,"RP"
150,213,144.921158070296,208.452180110695,2017,618,"RP"
154,212,156.691859863197,212.68100410578,2018,618,"RP"
161,219,163.16137724816,222.020469688275,2019,618,"RP"
151,202,145.592140334261,200.376220946286,2020,618,"RP"
164.6,196.5,150.435957307401,209.709322210292,2018,619,"RE"
169.1,199.5,154.843872360064,212.995915245738,2019,619,"RE"
163,206,155.173948216021,213.314372458494,2020,619,"RE"
187,232,191.907376885761,229.370892792576,2012,619,"RL"
151,197,151.791287008707,204.109252656607,2014,619,"RL"
158,209,150.428633554962,213.63717311524,2015,619,"RL"
164.6,222.5,155.557864372417,219.069133671263,2016,619,"RL"
149,197,140.808157312881,202.900430273968,2017,619,"RL"
157,213,157.76620187113,215.345501961731,2018,619,"RL"
168,224,167.799980247403,223.190615651988,2019,619,"RL"
160,221,165.221859992802,220.757290552878,2020,619,"RL"
135,231,148.486257558279,211.204618888138,2012,619,"RP"
148.4,213,149.02119177463,211.092876295212,2015,619,"RP"
152,210,141.772788268911,210.621182627054,2016,619,"RP"
142,203,144.249496468365,200.175521518022,2017,619,"RP"
154.7,209.5,153.700674362775,212.719932243254,2018,619,"RP"
159,219,163.992573115829,219.148621932093,2019,619,"RP"
153.7,218,156.293650573997,214.686484141874,2020,619,"RP"
