"q10","q50","w10","w50","year","HEXcell","code"
157,213,174.952161541881,203.474536622862,2015,619,"RP"
142.8,204,134.69525261998,195.520016187898,2017,619,"RP"
214,223,194.784942570839,223.842563393362,2018,619,"RP"
151.8,208,141.399673000487,196.873185565453,2019,619,"RP"
151,176,134.852277499821,186.207906202059,2020,619,"RP"
151,166.5,119.371163886996,184.025638529964,2018,620,"RE"
142,222,152.673997278274,204.456773611188,2019,620,"RE"
165,225,186.65115543235,220.906399748639,2020,620,"RE"
191.8,200,177.822052781893,201.0590246731,2012,620,"RL"
145,206,136.326867146073,182.23733121448,2015,620,"RL"
141,155,112.513521992595,161.258105844003,2016,620,"RL"
160,200,161.840356287256,200.690836257146,2017,620,"RL"
151,167,119.261649235025,185.4389807749,2018,620,"RL"
142,222,157.456943876888,208.179820073452,2019,620,"RL"
165,225,187.097116860887,221.608016922695,2020,620,"RL"
81,200,135.340908960631,184.931152195032,2012,620,"RP"
145,206,135.382705744128,183.826634727268,2015,620,"RP"
141,183,131.331758283364,182.003691544311,2016,620,"RP"
160,200,156.187704827417,197.781222470418,2017,620,"RP"
151,167,120.815786030022,185.853202601847,2018,620,"RP"
142,219,156.592677230796,206.269058789072,2019,620,"RP"
165,224,187.357043857058,220.743970515329,2020,620,"RP"
162,173,138.824078981459,191.726127038711,2018,621,"RL"
181,226,176.060574315329,218.926663203802,2019,621,"RL"
149,207,156.043146908398,199.736466003809,2020,621,"RL"
149,210,158.549762720208,204.723235975255,2020,621,"RP"
173.8,228,189.540189350988,224.981488108065,2019,622,"RE"
156,219,159.834589858386,203.973170840566,2020,622,"RE"
173,188,167.379344860273,200.300755689221,2006,622,"RL"
175,183,152.526530365462,184.47930974062,2007,622,"RL"
126,218,147.817542527884,200.392367270774,2013,622,"RL"
144,186,125.116965258387,181.567139267715,2014,622,"RL"
150,192,151.805866411836,194.822299581312,2015,622,"RL"
156,223,171.421961040201,226.011949889959,2016,622,"RL"
151.6,229,158.156586769573,211.56710299724,2017,622,"RL"
167,226,186.69121211393,219.66354683446,2018,622,"RL"
160,227,186.252732278504,223.968069728478,2019,622,"RL"
156,219,159.071819024032,204.127426148514,2020,622,"RL"
119,217,136.169328670266,190.593929247538,2006,622,"RP"
125,180,130.359665986835,170.521124810503,2007,622,"RP"
130,151,106.202392121627,163.109132211147,2014,622,"RP"
150,201,147.275125077906,197.691253813176,2015,622,"RP"
109,212,142.576945685533,208.91691757325,2016,622,"RP"
140,198,143.811143441659,202.675566512538,2017,622,"RP"
150,220,173.304579931383,212.996232231007,2018,622,"RP"
173,226,184.423562831047,222.56896637414,2019,622,"RP"
156,219,162.511914508744,206.376494734857,2020,622,"RP"
135,198,139.05602334125,188.328938304013,2017,644,"RL"
135,169.5,126.467534359642,176.486541420504,2018,644,"RL"
140,206,137.768987861069,202.695891148777,2019,644,"RL"
116,207,136.456048039976,200.564249857955,2020,644,"RL"
135,198,133.562031963119,181.441706654534,2017,644,"RP"
128.8,182,114.449169998757,171.999467180939,2018,644,"RP"
138.2,205,125.050549292292,193.22825729654,2019,644,"RP"
116,205,123.8094549924,189.733964802544,2020,644,"RP"
149,179,143.681759060387,189.463109079549,2017,645,"RL"
132,132,96.8870984720131,169.122156303084,2018,645,"RL"
121,213,160.213924342138,201.46240526989,2019,645,"RL"
150,163,125.216621427113,180.309993742703,2020,645,"RL"
149,179,139.658466932644,187.120817044359,2017,645,"RP"
121,213,143.216203682599,192.816821266699,2019,645,"RP"
128,160,116.853531384555,175.551447136944,2020,645,"RP"
144,223,157.334198046189,205.410848927677,2019,646,"RE"
165.9,221,181.597218514452,219.815893414347,2020,646,"RE"
177,283,207.172645750878,267.227130281945,2016,646,"RL"
168,225,165.929745453945,224.113643959412,2017,646,"RL"
137.6,209,145.244644032633,206.996237478771,2018,646,"RL"
144,223,156.813882433164,206.60810244368,2019,646,"RL"
166,221,183.899554530957,221.610775019261,2020,646,"RL"
149.6,218,155.055386449548,213.139779193634,2017,646,"RP"
138,209,145.901817343585,205.509122776718,2018,646,"RP"
144,219,155.446173801983,203.815527219876,2019,646,"RP"
165,221,178.130866145443,218.088994236349,2020,646,"RP"
156,221,165.629940880951,219.086191884929,2020,647,"RE"
144,145,106.371307128403,149.033912236927,2016,647,"RL"
147,207,145.292954460598,193.898842551422,2019,647,"RL"
156,221,170.20454604488,221.269347959009,2020,647,"RL"
144,145,104.031324233295,149.525201270419,2016,647,"RP"
147,209,146.790178229782,198.306835186424,2019,647,"RP"
156,221,165.959783150467,218.405449739125,2020,647,"RP"
150.2,207,147.661916630219,192.150642552229,2019,648,"RE"
