"dataset","code","pct","term","estimate","std.error","statistic","p.value","r2"
"iNat - CC!",NA,"tidy10","(Intercept)",44.1743025391443,35.8870715195436,1.23092525159339,0.238630530607108,0.0600013859542461
"iNat - CC!",NA,"tidy10","latitude",-0.601657733157006,0.95534337908561,-0.6297816537263,0.538980445649539,0.0600013859542461
"iNat - CC!",NA,"tidy10","temp_dev",2.66957811404268,5.08025097674287,0.525481541416727,0.607471535053043,0.0600013859542461
"iNat - CC!",NA,"tidy50","(Intercept)",15.9905066727981,46.2977684229673,0.345383961635299,0.734940263843023,0.0543672695277231
"iNat - CC!",NA,"tidy50","latitude",0.871821281154526,1.23248469870921,0.707368847716803,0.490945520666726,0.0543672695277231
"iNat - CC!",NA,"tidy50","temp_dev",4.6595022417611,6.55401160620492,0.710938967112871,0.488798070770482,0.0543672695277231
"iNat - Bfly","RL","tidy10","(Intercept)",63.2580148627095,9.47713843137725,6.67480118822287,1.36182392803876e-10,0.106557649577171
"iNat - Bfly","RL","tidy10","latitude",-1.03094025744149,0.227533180395824,-4.53094469847446,8.76384740729661e-06,0.106557649577171
"iNat - Bfly","RL","tidy10","temp_dev",4.17964307324358,1.14356755055764,3.65491576881965,0.000308099988676911,0.106557649577171
"iNat - Bfly","RL","tidy50","(Intercept)",50.5964641386324,7.66908405949099,6.59745854213398,2.13999505877909e-10,0.0983554478613702
"iNat - Bfly","RL","tidy50","latitude",-0.744367886761516,0.184124258542177,-4.04274750462067,6.86442144398422e-05,0.0983554478613702
"iNat - Bfly","RL","tidy50","temp_dev",3.54490776391839,0.925397021098304,3.83068854026689,0.000158352175702791,0.0983554478613702
"iNat - Bfly","RE","tidy10","(Intercept)",23.0596370236571,16.7102009386981,1.37997365251633,0.170939167416187,0.0149018656780179
"iNat - Bfly","RE","tidy10","latitude",-0.20316957361626,0.384842098351546,-0.527929700223878,0.598819180364423,0.0149018656780179
"iNat - Bfly","RE","tidy10","temp_dev",1.6901258329259,1.50054209026259,1.12634350205407,0.262949612742855,0.0149018656780179
"iNat - Bfly","RE","tidy50","(Intercept)",158.553849284511,20.4231514537343,7.76343698198057,1.11476392146371e-11,0.290703838852139
"iNat - Bfly","RE","tidy50","latitude",-2.86740289668831,0.470352719829045,-6.09628216401194,2.51317223323227e-08,0.290703838852139
"iNat - Bfly","RE","tidy50","temp_dev",0.472109668398149,1.83395750204087,0.257426722196547,0.79742427919513,0.290703838852139
"iNat - Bfly","RP","tidy10","(Intercept)",38.8229725377737,13.0415224836521,2.97687425578106,0.00319787755908126,0.0251698463258243
"iNat - Bfly","RP","tidy10","latitude",-0.241399551596439,0.314297415642587,-0.768060886224256,0.443175877664418,0.0251698463258243
"iNat - Bfly","RP","tidy10","temp_dev",3.75734649177123,1.5333900259126,2.45035276627357,0.0149578134857416,0.0251698463258243
"iNat - Bfly","RP","tidy50","(Intercept)",29.4124300757318,10.0882939318386,2.91550090376594,0.00387350827208173,0.0281868395312863
"iNat - Bfly","RP","tidy50","latitude",-0.0407563603869049,0.243125349436331,-0.167635174536081,0.86700582155323,0.0281868395312863
"iNat - Bfly","RP","tidy50","temp_dev",3.19325048476001,1.18615670163872,2.69209833772251,0.00758008888076938,0.0281868395312863
"CC! - Bfly","RE","tidy10","(Intercept)",872.751006430563,134.398154016862,6.49377227548128,0.0972713357656357,0.975929273111912
"CC! - Bfly","RE","tidy10","latitude",-19.5600161123691,3.07382937176621,-6.36340334698864,0.0992323539075001,0.975929273111912
"CC! - Bfly","RE","tidy10","temp_dev",0.0621396533501712,1.90325286806801,0.0326491841377068,0.979222264537666,0.975929273111912
"CC! - Bfly","RE","tidy50","(Intercept)",775.684233696909,180.018332343207,4.30891800629538,0.145174753495952,0.957308469090144
"CC! - Bfly","RE","tidy50","latitude",-17.3397452011815,4.11721159014948,-4.2115263744684,0.14841288528089,0.957308469090144
"CC! - Bfly","RE","tidy50","temp_dev",5.95149993447356,2.54929399769912,2.33456789991469,0.257640213629901,0.957308469090144
"CC! - Bfly","RL","tidy10","(Intercept)",37.7000308945326,30.0493542421356,1.25460369599787,0.230164233601477,0.158717676602647
"CC! - Bfly","RL","tidy10","latitude",-0.494945268601992,0.799938540691142,-0.618729119082526,0.546031034639859,0.158717676602647
"CC! - Bfly","RL","tidy10","temp_dev",5.53343138427518,4.25385117188976,1.30080512003831,0.214329291196015,0.158717676602647
"CC! - Bfly","RL","tidy50","(Intercept)",-9.26567988564907,31.4764447390154,-0.294368692604097,0.772795717602924,0.116201511059938
"CC! - Bfly","RL","tidy50","latitude",0.988342713762823,0.837928864220539,1.17950670512133,0.257852546890258,0.116201511059938
"CC! - Bfly","RL","tidy50","temp_dev",-1.58094997266636,4.45587316988771,-0.354801385135968,0.728026246989353,0.116201511059938
"CC! - Bfly","RP","tidy10","(Intercept)",65.1863613908444,42.3790289718533,1.53817496465384,0.147983839549737,0.105899377490162
"CC! - Bfly","RP","tidy10","latitude",-1.05400862862002,1.12401704116605,-0.937715879758015,0.365485984312525,0.105899377490162
"CC! - Bfly","RP","tidy10","temp_dev",3.23764619397122,5.9080951326867,0.548001702961561,0.592976289601927,0.105899377490162
"CC! - Bfly","RP","tidy50","(Intercept)",3.59113217906973,32.1532294836493,0.111688071050403,0.912776804384768,0.038924008100163
"CC! - Bfly","RP","tidy50","latitude",0.473285351224704,0.852798630477067,0.554979023547379,0.588331351136596,0.038924008100163
"CC! - Bfly","RP","tidy50","temp_dev",-1.39515059201459,4.48250805224146,-0.311243298562944,0.760550444376544,0.038924008100163
